dataset_number,physics_short,e-tag,crossSection_pb,genFiltEff,kFactor,nEvents,totalWeight,scaledWeight,process,generator,keywords,description,job_path,,,,,,,,,,,,,,,,,,,scaledWeights = crossSection_pb*
341122,PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_tautaull,e3935,1.90820026,0.12277,1.454689984,1522300,20207228.68,4.52E+00,gg->H->tautau->ll,Powheg(v1_r2856)+Pythia8(v8.186)+EvtGen(v1.2.0),"['2tau', 'Higgs', 'SM', 'SMHiggs', 'mH125']","POWHEG+PYTHIA8+EVTGEN, ggH H->tautau",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID341xxx/MC15.341122.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_tautaull.py,,,,,,,,,,,,,,,,,,,
341123,PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_tautaulh,e3935,1.90820026,0.4548,1.454641804,1446900,46547831.14,4.06E+01,gg->H->tautau->lh,Powheg(v1_r2856)+Pythia8(v8.186)+EvtGen(v1.2.0),"['2tau', 'Higgs', 'SM', 'SMHiggs', 'mH125']","POWHEG+PYTHIA8+EVTGEN, ggH H->tautau",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID341xxx/MC15.341123.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_tautaulh.py,,,,,,,,,,,,,,,,,,,
341155,PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_tautaull,e3888,0.2420117,0.12271,0.978768966,2078800,2078800,2.91E-02,VBF H->tautau->ll,Powheg(v1_r2856)+Pythia8(v8.186)+EvtGen(v1.2.0),"['2tau', 'Higgs', 'SM', 'SMHiggs', 'VBF', 'mH125']","POWHEG+PYTHIA8+EVTGEN, VBF H->tautau",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID341xxx/MC15.341155.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_tautaull.py,,,,,,,,,,,,,,,,,,,
341156,PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_tautaulh,e3888,0.24201136,0.45539,0.978768966,2087900,2087900,1.08E-01,VBF H->tautau->lh,Powheg(v1_r2856)+Pythia8(v8.186)+EvtGen(v1.2.0),"['2tau', 'Higgs', 'SM', 'SMHiggs', 'VBF', 'mH125']","POWHEG+PYTHIA8+EVTGEN, VBF H->tautau",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID341xxx/MC15.341156.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_tautaulh.py,,,,,,,,,,,,,,,,,,,
341947,Pythia8EvtGen_A14NNPDF23LO_ZH125_ZZ4l,e4161,0.0002089,0.010256,1,150000,150000,2.14E-06,"pp>ZH, H>ZZ>llll",Pythia8(v8.186)+EvtGen(v1.2.0),"['Higgs', 'ZHiggs', 'ZZ']","PYTHIA8+EVTGEN, ZH, Z->any, H->ZZ->4l mh=125 GeV",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID341xxx/MC15.341947.Pythia8EvtGen_A14NNPDF23LO_ZH125_ZZ4l.py,,,,,,,,,,,,,,,,,,,
341964,Pythia8EvtGen_A14NNPDF23LO_WH125_ZZ4l,e4161,0.0003769,1,1,149400,149400,3.77E-04,"pp>WH, H>ZZ>llll",Pythia8(v8.186)+EvtGen(v1.2.0),"['Higgs', 'WHiggs', 'ZZ']","PYTHIA8+EVTGEN, WH, W->any, H->ZZ->4l mh=125 GeV",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID341xxx/MC15.341964.Pythia8EvtGen_A14NNPDF23LO_WH125_ZZ4l.py,,,,,,,,,,,,,,,,,,,
343981,PowhegPythia8EvtGen_NNLOPS_nnlo_30_ggH125_gamgam,e5607,28.3,0.00227,1.717,1976000,55922617.63,3.12E+00,pp>H>gamma gamma,Powheg(v2_r3133)+Pythia8(v8.212)+EvtGen(v1.2.0),"['1jet', 'Higgs']",POWHEG+Pythia8 H+jet production with NNLOPS and the A14 tune',https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID343xxx/MC15.343981.PowhegPythia8EvtGen_NNLOPS_nnlo_30_ggH125_gamgam.py,,,,,,,,,,,,,,,,,,,
344235,PowhegPy8EG_NNPDF30_AZNLOCTEQ6L1_VBFH125_ZZ4lep_notau,e5500,0.000463301,1.00E+00,1,985000,3680490.832,1.73E-03,"pp>VBF H, H>ZZ>llll",Powheg(v2_r3052)+Pythia8(v8.212)+EvtGen(v1.2.0),"['Higgs', 'SMHiggs', 'ZZ']","POWHEG+PYTHIA8+EVTGEN, VBF H->ZZ->llll mh=125 GeV CPS",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID344xxx/MC15.344235.PowhegPy8EG_NNPDF30_AZNLOCTEQ6L1_VBFH125_ZZ4lep_notau.py,,,,,,,,,,,,,,,,,,,
345041,PowhegPythia8EvtGen_NNPDF30_AZNLOCTEQ6L1_VBFH125_gamgam,e5720,3.7363,1.00E+00,1,921000,3441426.137,1.40E+01,"pp>VBF H, H>gamma gamma",Powheg+Pythia8(v8.212)+EvtGen(v1.2.0),"['Higgs', 'SM', 'SMHiggs', 'VBF', 'diphoton', 'mH125']","POWHEG+PYTHIA8+EVTGEN, VBF H->gamgam",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID345xxx/MC15.345041.PowhegPythia8EvtGen_NNPDF30_AZNLOCTEQ6L1_VBFH125_gamgam.py,,,,,,,,,,,,,,,,,,,
345060,PowhegPythia8EvtGen_NNLOPS_nnlo_30_ggH125_ZZ4l,e7735,28.3,0.000124,1.717,985000,27881776.65,1.71E-01,ggH H->ZZ->llll,Powheg+Pythia8(v.230)+EvtGen(v.1.6.0),"['Higgs', 'SM', 'SMHiggs', 'ZZ', 'mH125']","POWHEG+PYTHIA8+EVTGEN, H+jet production with NNLOPS and A14 tune, HZZ4l mh=125 GeV",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID345xxx/MC15.345060.PowhegPythia8EvtGen_NNLOPS_nnlo_30_ggH125_ZZ4l.py,,,,,,,,,,,,,,,,,,,
345318,PowhegPythia8EvtGen_NNPDF30_AZNLO_WpH125J_Hyy_Wincl_MINLO,e5734,0.84,0.00227,1,248000,213799.9585,1.64E-03,"qq->WpH, H->gamgam, W->all",Powheg+Pythia8(v8.212)+EvtGen(v1.2.0),"['Higgs', 'SM', 'SMHiggs', 'mH125']",POWHEG+MiNLO+Pythia8 H+Wp+jet->gamgam+all production,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID345xxx/MC15.345318.PowhegPythia8EvtGen_NNPDF30_AZNLO_WpH125J_Hyy_Wincl_MINLO.py,,,,,,,,,,,,,,,,,,,
345319,PowhegPythia8EvtGen_NNPDF30_AZNLO_ZH125J_Hyy_Zincl_MINLO,e5743,0.7612,0.00227,1,471000,358401.082,1.31E-03,"qq->ZH, H->gamgam, Z->all",Powheg+Pythia8(v8.212)+EvtGen(v1.2.0),"['Higgs', 'SM', 'SMHiggs', 'ZHiggs', 'mH125']","POWHEG+MiNLO+Pythia8 H+Z+jet production: Z->all, H->gamgam",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID345xxx/MC15.345319.PowhegPythia8EvtGen_NNPDF30_AZNLO_ZH125J_Hyy_Zincl_MINLO.py,,,,,,,,,,,,,,,,,,,
345323,PowhegPy8EG_NNPDF30_AZNLOCTEQ6L1_VBFH125_WWlvlv,e5901,3.7365,5.10E-01,1,1175000,4389990.089,7.12E+00,"pp>VBF H, H>WW>lvlv",Powheg+Pythia8(v8.212)+EvtGen(v1.2.0),"['Higgs', 'SMHiggs', 'WW']","POWHEG+PYTHIA8+EVTGEN, VBF H->WW->lVLV mh=125 GeV CPS",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID345xxx/MC15.345323.PowhegPy8EG_NNPDF30_AZNLOCTEQ6L1_VBFH125_WWlvlv.py,,,,,,,,,,,,,,,,,,,
345324,PowhegPythia8EvtGen_NNLOPS_NN30_ggH125_WWlvlv_EF_15_5,e5769,28.3,0.02338,1.717,1972000,55832659.69,3.22E+01,gg->H->WW*->lvlv,Powheg+Pythia8(v8.212)+EvtGen(v1.2.0),"['Higgs', 'SM', 'SMHiggs', 'WW', 'mH125']","POWHEG+PYTHIA8+EVTGEN, ggH H->WW->lvlv",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID345xxx/MC15.345324.PowhegPythia8EvtGen_NNLOPS_NN30_ggH125_WWlvlv_EF_15_5.py,,,,,,,,,,,,,,,,,,,
345325,PowhegPythia8EvtGen_NNPDF3_AZNLO_WpH125J_MINLO_qqWWlvlv,e5811,0.84,0.015760458,1,246000,212083.0067,1.14E-02,"WpH, W->qq, H->WW->lvlv",Powheg+Pythia8(v8.212)+EvtGen(v1.2.0),"['Higgs', 'SM', 'SMHiggs', 'WHiggs', 'mH125']",POWHEG+MiNLO+Pythia8 H+W+jet->qqWW->qqlvlv production,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID345xxx/MC15.345325.PowhegPythia8EvtGen_NNPDF3_AZNLO_WpH125J_MINLO_qqWWlvlv.py,,,,,,,,,,,,,,,,,,,
345327,PowhegPythia8EvtGen_NNPDF3_AZNLO_WpH125J_MINLO_lvWWlvlv,e5823,0.0063708,1.00E+00,1,99000,27654.94275,1.78E-03,"WpH, W->lv, H->WW->lvlv",Powheg+Pythia8(v8.212)+EvtGen(v1.2.0),"['Higgs', 'SM', 'SMHiggs', 'WHiggs', 'mH125']",POWHEG+MiNLO+Pythia8 H+W+jet->lvWW->lvlvlv production,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID345xxx/MC15.345327.PowhegPythia8EvtGen_NNPDF3_AZNLO_WpH125J_MINLO_lvWWlvlv.py,,,,,,,,,,,,,,,,,,,
345336,PowhegPythia8EvtGen_NNPDF3_AZNLO_ZH125J_MINLO_qqWWlvlv,e5813,0.76078,1.00E+00,1,245000,186418.1649,5.79E-01,"qq->ZH, H->WW",Powheg+Pythia8(v8.212)+EvtGen(v1.2.0),"['Higgs', 'SM', 'SMHiggs', 'WHiggs', 'mH125']",POWHEG+MiNLO+Pythia8 H+Z+jet->qqWW->qqlvlv production,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID345xxx/MC15.345336.PowhegPythia8EvtGen_NNPDF3_AZNLO_ZH125J_MINLO_qqWWlvlv.py,,,,,,,,,,,,,,,,,,,
345337,PowhegPythia8EvtGen_NNPDF3_AZNLO_ZH125J_MINLO_llWWlvlv,e5810,0.076093,1.00E+00,0.022953147,297000,22685.31194,1.33E-04,"qq->ZH, H->WW, Z->ll",Powheg+Pythia8(v8.212)+EvtGen(v1.2.0),"['Higgs', 'SM', 'SMHiggs', 'ZHiggs', 'mH125']",POWHEG+MiNLO+Pythia8 H+Z+jet->lllvlv production,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID345xxx/MC15.345337.PowhegPythia8EvtGen_NNPDF3_AZNLO_ZH125J_MINLO_llWWlvlv.py,,,,,,,,,,,,,,,,,,,
345445,PowhegPythia8EvtGen_NNPDF3_AZNLO_ZH125J_MINLO_vvWWlvlv,e5810,0.7612,0.004676,1,198000,29701.76987,5.34E-04,"qq->ZH, H->WW, Z->vv",Powheg+Pythia8(v8.212)+EvtGen(v1.2.0),"['Higgs', 'SM', 'SMHiggs', 'ZHiggs', 'mH125']",POWHEG+MiNLO+Pythia8 H+Z+jet->vvlvlv production,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID345xxx/MC15.345445.PowhegPythia8EvtGen_NNPDF3_AZNLO_ZH125J_MINLO_vvWWlvlv.py,,,,,,,,,,,,,,,,,,,
361100,PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu,e3601,11306,1,1.017239996,25544800,2.89E+11,1.30E+08,"pp>W, W>ev",Powheg(v1_r2856)+Pythia8(v8.186)+EvtGen(v1.2.0)+Photospp,"['NLO', 'SM', 'W', 'drellYan', 'electron', 'electroweak', 'neutrino']",POWHEG+Pythia8 Wplus->enu production without lepton filter and AZNLO CT10 tune',https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID361xxx/MC15.361100.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu.py,,,,,,,,,,,,,,,,,,,
361101,PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu,e3601,11306,1.00E+00,1.017239996,1996000,22564856148,1.30E+08,"pp>W, W>mv",Powheg(v1_r2856)+Pythia8(v8.186)+EvtGen(v1.2.0)+Photospp,"['NLO', 'SM', 'W', 'drellYan', 'electroweak', 'muon', 'neutrino']",POWHEG+Pythia8 Wplus->munu production without lepton filter and AZNLO CT10 tune',https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID361xxx/MC15.361101.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu.py,,,,,,,,,,,,,,,,,,,
361102,PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplustaunu,e3601,11306,1.00E+00,1.017239996,1979400,22377037618,1.30E+08,"pp>W, W>tauv",Powheg(v1_r2856)+Pythia8(v8.186)+EvtGen(v1.2.0)+Photospp,"['NLO', 'SM', 'W', 'drellYan', 'electroweak', 'neutrino', 'tau']",POWHEG+Pythia8 Wplus->taunu production without lepton filter and AZNLO CT10 tune',https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID361xxx/MC15.361102.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplustaunu.py,,,,,,,,,,,,,,,,,,,
361103,PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminusenu,e3601,8283.1,1.00E+00,1.035773492,17905400,1.48E+11,7.09E+07,"pp>W-, W->ev",Powheg(v1_r2856)+Pythia8(v8.186)+EvtGen(v1.2.0)+Photospp,"['NLO', 'SM', 'W', 'drellYan', 'electron', 'electroweak', 'neutrino']",POWHEG+Pythia8 Wmin->enu production without lepton filter and AZNLO CT10 tune',https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID361xxx/MC15.361103.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminusenu.py,,,,,,,,,,,,,,,,,,,
361104,PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminusmunu,e3601,8283.1,1.00E+00,1.035760987,1997000,16541864240,7.11E+07,"pp>W-, W->muv",Powheg(v1_r2856)+Pythia8(v8.186)+EvtGen(v1.2.0)+Photospp,"['NLO', 'SM', 'W', 'drellYan', 'electroweak', 'muon', 'neutrino']",POWHEG+Pythia8 Wmin->munu production without lepton filter and AZNLO CT10 tune',https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID361xxx/MC15.361104.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminusmunu.py,,,,,,,,,,,,,,,,,,,
361105,PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminustaunu,e3601,8282.9,1.00E+00,1.035785997,1999800,16563331847,7.11E+07,"pp>W-, W->tauv",Powheg(v1_r2856)+Pythia8(v8.186)+EvtGen(v1.2.0)+Photospp,"['NLO', 'SM', 'W', 'drellYan', 'electroweak', 'neutrino', 'tau']",POWHEG+Pythia8 Wmin->taunu production without lepton filter and AZNLO CT10 tune',https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID361xxx/MC15.361105.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminustaunu.py,,,,,,,,,,,,,,,,,,,
361106,PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zee,e3601,1901.1,1.00E+00,1.026000473,61106597,1.16E+11,3.70E+06,"pp>Z, Z>ee",Powheg(v1_r2856)+Pythia8(v8.186)+EvtGen(v1.2.0)+Photospp,"['2electron', 'NLO', 'SM', 'Z', 'drellYan', 'electroweak']",POWHEG+Pythia8 Z->ee production without lepton filter and AZNLO CT10 tune',https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID361xxx/MC15.361106.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zee.py,,,,,,,,,,,,,,,,,,,
361107,PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zmumu,e3601,1901.1,1.00E+00,1.026054442,1998400,3799531630,3.71E+06,"pp>Z, Z>mumu",Powheg(v1_r2856)+Pythia8(v8.186)+EvtGen(v1.2.0)+Photospp,"['2muon', 'NLO', 'SM', 'Z', 'drellYan', 'electroweak']",POWHEG+Pythia8 Z->mumu production without lepton filter and AZNLO CT10 tune',https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID361xxx/MC15.361107.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zmumu.py,,,,,,,,,,,,,,,,,,,
361108,PowhegPythia8EvtGen_AZNLOCTEQ6L1_Ztautau,e3601,1901.1,1.00E+00,1.026054442,29546000,56171652547,3.71E+06,"pp>Z, Z>tautau",Powheg(v1_r2856)+Pythia8(v8.186)+EvtGen(v1.2.0)+Photospp,"['2tau', 'NLO', 'SM', 'Z', 'drellYan', 'electroweak']",POWHEG+Pythia8 Z->tautau production without lepton filter and AZNLO CT10 tune',https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID361xxx/MC15.361108.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Ztautau.py,,,,,,,,,,,,,,,,,,,
363356,Sherpa_221_NNPDF30NNLO_ZqqZll,e5525,15.564,1.41E-01,1,5317000,3439266.116,1.42E+00,pp>ZZ>qqll,Sherpa(v2.2.1),"['2jet', '2lepton', 'NLO', 'SM', 'diboson']","Z(->qq)Z(->ll) with 0,1j@NLO + 2,3j@LO.",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID363xxx/MC15.363356.Sherpa_221_NNPDF30NNLO_ZqqZll.py,,,,,,,,,,,,,,,,,,,
363358,Sherpa_221_NNPDF30NNLO_WqqZll,e5525,3.4328,1.00E+00,1,5124000,241438.7271,1.62E-01,pp>WZ>qqll,Sherpa(v2.2.1),"['2jet', '2lepton', 'NLO', 'SM', 'diboson']","W(->qq)Z(->ll) with 0,1j@NLO + 2,3j@LO.",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID363xxx/MC15.363358.Sherpa_221_NNPDF30NNLO_WqqZll.py,,,,,,,,,,,,,,,,,,,
363359,Sherpa_221_NNPDF30NNLO_WpqqWmlv,e5583,24.708,1.00E+00,1,6673000,998250.7835,3.70E+00,pp>WW>qqlv,Sherpa(v2.2.1),"['1lepton', '2jet', 'NLO', 'SM', 'diboson', 'neutrino']","W+(->qq)W-(->lv) with 0,1j@NLO + 2,3j@LO.",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID363xxx/MC15.363359.Sherpa_221_NNPDF30NNLO_WpqqWmlv.py,,,,,,,,,,,,,,,,,,,
363360,Sherpa_221_NNPDF30NNLO_WplvWmqq,e5983,24.724,1.00E+00,1,7115000,1069526.419,3.72E+00,pp>WW>qqlv,Sherpa(v2.2.1),"['1lepton', '2jet', 'NLO', 'SM', 'diboson', 'neutrino']","W+(->lv)W-(->qq) with 0,1j@NLO + 2,3j@LO.",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID363xxx/MC15.363360.Sherpa_221_NNPDF30NNLO_WplvWmqq.py,,,,,,,,,,,,,,,,,,,
363489,Sherpa_221_NNPDF30NNLO_WlvZqq,e5525,11.42,1.00E+00,1,7100000,1111991.16,1.79E+00,pp>WZ>lvqq,Sherpa(v2.2.1),"['2jet', 'NLO', 'SM', 'diboson', 'neutrino']","W(->qq)Z(->vv) with 0,1j@NLO + 2,3j@LO.",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID363xxx/MC15.363489.Sherpa_221_NNPDF30NNLO_WlvZqq.py,,,,,,,,,,,,,,,,,,,
363490,Sherpa_221_NNPDF30NNLO_llll,e5332,1.2564,1.00E+00,1,17825300,7538705.808,5.31E-01,pp>llll,Sherpa(v2.2.1),"['4lepton', 'NLO', 'SM', 'diboson', 'jets']","4 charged leptons with 0,1j@NLO + 2,3j@LO and mll>4 GeV, pTl1>5 GeV, pTl2>5 GeV.",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID363xxx/MC15.363490.Sherpa_221_NNPDF30NNLO_llll.py,,,,,,,,,,,,,,,,,,,
363491,Sherpa_221_NNPDF30NNLO_lllv,e5332,4.5919,1.00E+00,1,15772084,5441475.004,1.58E+00,pp>lllv,Sherpa(v2.2.1),"['3lepton', 'NLO', 'SM', 'diboson', 'jets', 'neutrino']","3 charged leptons + neutrino with 0,1j@NLO + 2,3j@LO and mll>4GeV, pTl1>5 GeV, pTl2>5 GeV.",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID363xxx/MC15.363491.Sherpa_221_NNPDF30NNLO_lllv.py,,,,,,,,,,,,,,,,,,,
363492,Sherpa_221_NNPDF30NNLO_llvv,e5332,12.466,1.00E+00,1,14803000,5039259.97,4.24E+00,pp>llvv,Sherpa(v2.2.1),"['2lepton', 'NLO', 'SM', 'diboson', 'jets', 'neutrino']","2 charged leptons + 2 neutrinos with 0,1j@NLO + 2,3j@LO and mll>4GeV, pTl1>5 GeV, pTl2>5 GeV.",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID363xxx/MC15.363492.Sherpa_221_NNPDF30NNLO_llvv.py,,,,,,,,,,,,,,,,,,,
363493,Sherpa_221_NNPDF30NNLO_lvvv,e5332,3.2289,1.00E+00,1,5922600,1727991.074,9.42E-01,pp>lvvv,Sherpa(v2.2.1),"['NLO', 'SM', 'diboson', 'jets', 'lepton', 'neutrino']","1 charged lepton + 3 neutrinos with 0,1j@NLO + 2,3j@LO and pTl>5 GeV.",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID363xxx/MC15.363493.Sherpa_221_NNPDF30NNLO_lvvv.py,,,,,,,,,,,,,,,,,,,
364100,Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_CVetoBVeto,e5271,1982.5,8.21E-01,0.9751,7891000,5319367.444,1.07E+03,"pp>Z, Z>mumu",Sherpa(v2.2.1),"['2muon', 'NLO', 'SM', 'Z', 'jets']","Sherpa Z/gamma* -> mu mu + 0,1,2j@NLO + 3,4j@LO with 0 GeV < max(HT, pTV) < 70 GeV with light-jet filter.",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID364xxx/MC15.364100.Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_CVetoBVeto.py,,,,,,,,,,,,,,,,,,,
364101,Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_CFilterBVeto,e5271,1982.2,1.13E-01,0.9751,4917000,2834664.086,1.26E+02,"pp>Z, Z>mumu",Sherpa(v2.2.1),"['2muon', 'NLO', 'SM', 'Z', 'jets']","Sherpa Z/gamma* -> mu mu + 0,1,2j@NLO + 3,4j@LO with 0 GeV < max(HT, pTV) < 70 GeV with c-jet filter.",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID364xxx/MC15.364101.Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_CFilterBVeto.py,,,,,,,,,,,,,,,,,,,
364102,Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_BFilter,e5271,1981.5,6.51E-02,0.9751,7902000,4078710.852,6.49E+01,"pp>Z, Z>mumu",Sherpa(v2.2.1),"['2muon', 'NLO', 'SM', 'Z', 'jets']","Sherpa Z/gamma* -> mu mu + 0,1,2j@NLO + 3,4j@LO with 0 GeV < max(HT, pTV) < 70 GeV with b-jet filter.",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID364xxx/MC15.364102.Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_BFilter.py,,,,,,,,,,,,,,,,,,,
364103,Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_CVetoBVeto,e5271,109.14,6.88E-01,0.9751,5917000,2143575.013,2.65E+01,"pp>Z, Z>mumu",Sherpa(v2.2.1),"['2muon', 'NLO', 'SM', 'Z', 'jets']","Sherpa Z/gamma* -> mu mu + 0,1,2j@NLO + 3,4j@LO with 70 GeV < max(HT, pTV) < 140 GeV with light-jet filter.",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID364xxx/MC15.364103.Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_CVetoBVeto.py,,,,,,,,,,,,,,,,,,,
364104,Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_CFilterBVeto,e5271,108.98,1.90E-01,0.9751,1969800,722736.703,7.41E+00,"pp>Z, Z>mumu",Sherpa(v2.2.1),"['2muon', 'NLO', 'SM', 'Z', 'jets']","Sherpa Z/gamma* -> mu mu + 0,1,2j@NLO + 3,4j@LO with 70 GeV < max(HT, pTV) < 140 GeV with c-jet filter.",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID364xxx/MC15.364104.Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_CFilterBVeto.py,,,,,,,,,,,,,,,,,,,
364105,Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_BFilter,e5271,109.04,1.17E-01,0.9751,5900600,2053470.592,4.33E+00,"pp>Z, Z>mumu",Sherpa(v2.2.1),"['2muon', 'NLO', 'SM', 'Z', 'jets']","Sherpa Z/gamma* -> mu mu + 0,1,2j@NLO + 3,4j@LO with 70 GeV < max(HT, pTV) < 140 GeV with b-jet filter.",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID364xxx/MC15.364105.Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_BFilter.py,,,,,,,,,,,,,,,,,,,
