totalWeight,sum_lep_charge,lead_lep_pt,sublead_lep_pt,mll,ETmiss,dRll,dphi_pTll_ETmiss,fractional_pT_difference,ETmiss_over_HT,N_bjets
9.512856540534668e-05,0,71.57815625,34.746578125,85.27543143189983,116.0343359375,1.905070932022106,2.7218423,0.011315645405383542,0.73647475,0
0.00023647549482228283,0,100.23875,37.959,99.97935860092726,101.62053125,1.8287445563647875,3.1336656,0.01350093865240948,0.73532695,0
0.0001954677221080327,0,159.800796875,62.32203515625,88.71618703763026,206.75209375,0.8817360810930743,2.9797466,0.04702767354900229,0.8412512,0
0.0001009615504093793,0,269.34278125,65.7724375,95.45343944924718,528.2690625,0.7256518997267084,2.9931417,0.16463423224553234,0.80657256,0
0.00019235881683034873,0,489.9323125,97.335703125,91.8007086361583,577.506,0.42343028970888946,3.140207,0.004590466018501993,0.9833773,0
9.053582920278403e-05,0,127.6917578125,46.25358203125,93.88537213744598,158.101890625,1.2862414367774766,2.8118634,0.04925905827926199,0.90891707,0
0.0002404155586624277,0,105.10015625,31.860185546875,85.42588137907174,113.5607109375,1.6031333659827376,2.9948635,0.016131577393972356,0.8291503,0
0.0001949612910384671,0,168.66196875,44.95703125,88.89017880327204,188.642125,1.0230573693634117,2.671012,0.10095932869668466,0.6730145,0
9.972998934894174e-05,0,122.185625,29.418048828125,90.40108974886705,200.4096875,1.7079036278961381,2.8286858,0.11381619648820872,0.8204793,0
9.429109262346484e-05,0,88.880953125,42.973875,103.92423764314074,218.6989375,1.8970049609935515,2.8090346,0.12002016559072369,0.8341037,0
8.744459693955349e-05,0,89.2450234375,57.30016796875,94.4781669512771,258.5229375,1.414374901172502,2.3570237,0.2927715671128341,0.7761711,0
0.00019746588880103274,0,454.384125,71.197796875,91.86132009859499,502.68065625,0.5150819591768012,3.136164,0.030425523469761538,0.9564268,0
0.00011533519573505981,0,145.113546875,30.21800390625,90.1224009867676,113.31421875,1.4928179828908263,3.0375726,0.24832074132880674,0.6462854,0
0.00045623544852769414,0,383.16309375,38.6619296875,94.47992869912736,409.6498125,0.7914344301707803,3.1221566,0.007087266383070811,0.9711368,0
0.00023656876676927507,0,113.6618828125,36.24195703125,109.44673556438288,140.43471875,1.928534047883853,2.963521,0.058197141779376745,0.77324367,0
0.0002335256596200223,0,343.27884375,109.3958984375,97.46864077751394,419.69246875,0.4994610341118158,3.105342,0.006805048865066602,0.8557401,0
8.331588359957667e-05,0,95.0126484375,74.47128125,91.89545953744043,154.951265625,1.13375240393408,3.1195965,0.05191953873939195,0.9142534,0
9.048035600632628e-05,0,71.402890625,63.1845625,90.97533078698696,107.1218203125,1.4582493370547036,3.1244261,0.03657810449449724,0.7959272,0
0.00019444732618210502,0,122.4458671875,28.954638671875,96.32226080340737,187.147921875,1.5961189419550832,3.0251749,0.18647500178155546,0.8050177,0
0.00013995894069616105,0,95.70765625,44.829234375,87.14336872512267,117.764828125,1.404890358694228,3.1366467,0.00926692951622461,0.8379638,0
0.00010732614508880844,0,99.4014765625,30.091421875,89.11110579486585,568.19875,1.9025435273673492,2.298822,0.09025494085094486,0.78924054,0
0.0001781153168081583,0,219.896921875,59.122328125,90.9847048546149,275.85615625,0.7890937135106291,3.1381233,0.0034873338187318328,0.98866355,0
0.00021578480564568003,0,106.9447265625,84.7438125,84.32180159465275,191.639859375,0.9157233593585649,2.9546442,0.007312396380505828,0.8443223,0
0.00019624473363127486,0,603.176375,73.46534375,89.95845287664079,776.4168125,0.4276249564997405,3.0555198,0.017693187591582994,0.98709285,0
0.00014349532271520636,0,71.843,53.11403515625,95.65265450512285,203.031015625,1.770978189552889,2.605779,0.07944262368994931,0.79108244,0
0.00018367362034160813,0,502.21575,91.15,86.7596651879554,579.6754375,0.40833635507501803,3.1067338,0.012459177925539279,0.9769277,0
0.00010562964117661404,0,110.621640625,28.7605234375,88.03431521708399,102.2481171875,1.779204766481193,2.9752073,0.06008503219695693,0.7335811,0
0.00019550940622235343,0,264.3819375,246.169234375,86.6411868052739,485.27478125,0.3385118735503045,3.1380687,0.004979116113424846,0.9073745,0
0.00019552835544366318,0,110.5489296875,74.4613125,88.4979298125412,191.57503125,0.9812571458225736,3.06828,0.04853892015045567,0.6180892,0
0.00018636152260290365,0,119.7922578125,32.264611328125,99.54003996311154,119.3588359375,1.8156602795915957,3.0710304,0.013497222858788424,0.78496176,0
9.416932745991145e-05,0,110.81459375,32.2077421875,90.79266300505641,264.1993125,1.6770979555614656,3.0171049,0.19316484881309223,0.93056566,0
0.00012037643115982039,0,156.568796875,133.783859375,89.25522884200153,252.313046875,0.6235352530283309,3.0950408,0.004342270501714162,0.79721904,0
0.00014643825847924686,0,203.749765625,114.85634375,93.43968123439484,312.73559375,0.6151136900170013,3.1084492,0.013331681864631217,0.98157436,0
0.00019158826735237857,0,69.7715078125,45.29019921875,86.97157974730519,215.545484375,1.4749980641249534,2.4817,0.2766883207973379,0.8750587,0
0.00021049440972405002,0,183.604015625,45.4228203125,89.53316826041647,217.871140625,0.988635352935445,3.042996,0.01789767439278915,0.86091053,0
0.0001898461504941903,0,548.5814375,32.184869140625,90.62202126091144,589.4974375,0.6713534956512724,3.0144703,0.008084401697902449,0.8947986,0
0.00020092942970680716,0,126.5853671875,60.98891015625,92.46624514891445,158.32446875,1.0493158216033913,3.1196315,0.10559854446515478,0.8440628,0
0.0001927215682022804,0,238.614375,44.39978515625,85.06224792159871,261.29178125,0.8443457423231474,2.645195,0.08468992064212116,0.618604,0
